Date,Open,High,Low,Close,Adj Close,Volume
1999-02-01,36.468750,36.812500,36.468750,36.687500,35.013870,168800
1999-02-02,36.750000,36.750000,36.406250,36.437500,34.775276,271400
1999-02-03,36.375000,36.875000,36.156250,36.718750,35.043701,184600
1999-02-04,36.625000,36.843750,36.250000,36.656250,34.984047,168600
1999-02-05,36.312500,36.437500,36.125000,36.375000,34.715630,147600
1999-02-08,36.562500,36.906250,36.437500,36.750000,35.073517,213400
1999-02-09,36.062500,36.218750,35.843750,35.875000,34.238438,405400
1999-02-10,36.187500,36.750000,36.187500,36.593750,34.924397,227800
1999-02-11,36.468750,37.250000,36.437500,37.250000,35.550720,243000
1999-02-12,36.750000,36.750000,36.031250,36.031250,34.387562,154600
1999-02-16,36.750000,37.125000,36.718750,36.968750,35.282299,264400
1999-02-17,37.468750,37.468750,36.906250,37.000000,35.312119,227400
1999-02-18,37.468750,37.500000,37.281250,37.375000,35.670010,228200
1999-02-19,37.562500,37.968750,37.562500,37.625000,35.908607,286200
1999-02-22,37.687500,38.250000,37.500000,38.187500,36.445446,200400
1999-02-23,37.750000,37.875000,37.500000,37.750000,36.027897,317000
1999-02-24,37.750000,38.125000,37.593750,37.656250,35.938427,359200
1999-02-25,37.781250,37.843750,37.375000,37.781250,36.057732,220000
1999-02-26,37.656250,37.656250,37.000000,37.343750,35.640186,189400
1999-03-01,37.125000,37.187500,36.937500,37.000000,35.312119,161800
1999-03-02,37.000000,37.000000,36.562500,36.843750,35.162994,401800
1999-03-03,37.812500,38.343750,37.781250,38.343750,36.594566,524800
1999-03-04,38.750000,39.718750,38.750000,39.718750,37.906841,707600
1999-03-05,41.000000,41.218750,40.718750,41.093750,39.219124,801000
1999-03-08,41.500000,43.062500,41.406250,42.906250,40.948925,847800
1999-03-09,44.250000,47.156250,44.125000,47.000000,44.855927,2382800
1999-03-10,48.500000,48.625000,47.593750,47.750000,45.571716,1624200
1999-03-11,47.750000,48.375000,46.531250,48.156250,45.959431,2145600
1999-03-12,46.750000,48.687500,46.656250,48.406250,46.198032,1244200
1999-03-15,48.000000,50.375000,47.750000,50.343750,48.047146,2028400
1999-03-16,49.750000,49.781250,48.218750,48.406250,46.198032,1097400
1999-03-17,48.687500,49.625000,48.500000,49.500000,47.241882,695000
1999-03-18,46.750000,48.187500,46.750000,48.187500,45.989258,814000
1999-03-19,49.375000,49.625000,48.937500,49.187500,46.943638,805200
1999-03-22,48.687500,48.968750,48.187500,48.750000,46.526096,407200
1999-03-23,47.937500,47.937500,46.250000,46.437500,44.319092,563200
1999-03-24,45.812500,47.687500,45.656250,47.218750,45.064705,419200
1999-03-25,48.500000,49.750000,48.093750,49.437500,47.182236,823200
1999-03-26,47.500000,47.718750,47.125000,47.187500,45.114723,603200
1999-03-29,48.000000,48.562500,47.562500,48.562500,46.429321,477000
1999-03-30,47.125000,47.468750,46.906250,47.250000,45.174480,422600
1999-03-31,46.625000,46.750000,45.562500,45.656250,43.650745,442600
1999-04-01,47.375000,48.000000,47.375000,47.937500,45.831783,676800
1999-04-05,47.000000,47.718750,47.000000,47.531250,45.443371,581400
1999-04-06,47.812500,48.406250,47.687500,48.093750,45.981178,661200
1999-04-07,49.750000,50.218750,49.531250,49.906250,47.714050,761400
1999-04-08,51.468750,52.156250,51.093750,52.156250,49.865223,580000
1999-04-09,51.437500,51.500000,50.875000,51.468750,49.207920,374000
1999-04-12,49.562500,51.218750,49.562500,51.156250,48.909142,773400
1999-04-13,50.718750,50.812500,49.343750,49.375000,47.206142,767600
1999-04-14,49.375000,50.218750,49.187500,49.656250,47.475037,494600
1999-04-15,50.000000,50.437500,49.812500,50.406250,48.192085,571000
1999-04-16,49.625000,50.000000,49.531250,49.843750,47.654305,463800
1999-04-19,49.000000,49.781250,48.312500,48.437500,46.309822,694600
1999-04-20,48.218750,48.406250,48.000000,48.343750,46.220181,408800
1999-04-21,47.531250,48.281250,47.531250,48.062500,45.951286,553800
1999-04-22,48.125000,48.218750,47.875000,48.093750,45.981178,376400
1999-04-23,48.250000,48.343750,47.875000,48.031250,45.921421,272800
1999-04-26,48.125000,48.468750,48.000000,48.343750,46.220181,293600
1999-04-27,48.500000,49.437500,48.437500,48.750000,46.608593,468000
1999-04-28,48.375000,48.562500,47.125000,47.281250,45.204357,878800
1999-04-29,46.968750,47.312500,46.562500,46.781250,44.726326,706800
