Date,Open,High,Low,Close,Adj Close,Volume
2020-08-03,429.299988,443.950012,428.609985,440.410004,439.996368,10318000
2020-08-04,442.000000,449.109985,436.239990,449.109985,448.688171,7758400
2020-08-05,449.760010,454.869995,446.649994,451.470001,451.045990,6248100
2020-08-06,453.989990,454.320007,447.149994,453.420013,452.994171,6107900
2020-08-07,452.500000,460.190002,441.500000,447.980011,447.559265,8562900
2020-08-10,453.369995,456.329987,434.260010,446.600006,446.180542,10694900
2020-08-11,442.950012,445.470001,431.829987,434.000000,433.592407,8862800
2020-08-12,439.630005,458.679993,438.329987,457.609985,457.180206,11610300
2020-08-13,461.839996,468.869995,454.230011,457.720001,457.290131,9361500
2020-08-14,461.200012,468.190002,457.619995,462.559998,462.125549,9160900
2020-08-17,474.049988,496.390015,472.690002,493.480011,493.016510,15532500
2020-08-18,498.000000,499.839996,483.450012,490.429993,489.969391,12586200
2020-08-19,491.859985,492.600006,483.920013,485.540009,485.083984,15565600
2020-08-20,479.000000,495.000000,475.149994,485.640015,485.183899,23034700
2020-08-21,488.070007,512.349976,487.809998,507.339996,506.863495,24996700
2020-08-24,515.349976,516.500000,500.299988,508.809998,508.332123,12264100
2020-08-25,505.230011,510.450012,502.950012,510.000000,509.521027,7226900
2020-08-26,511.970001,514.739990,507.109985,510.920013,510.440155,8031100
2020-08-27,511.260010,514.000000,502.660004,505.130005,504.655609,7940100
2020-08-28,507.000000,525.919983,505.700012,525.909973,525.416077,13429000
2020-08-31,527.309998,543.000000,521.510010,534.979980,534.477539,12521000
2020-09-01,539.200012,559.750000,537.460022,552.840027,552.486084,12782900
2020-09-02,588.150024,589.070007,556.000000,573.859985,573.492554,21850300
2020-09-03,553.150024,555.380005,515.150024,520.619995,520.286682,23628200
2020-09-04,511.350006,527.000000,468.190002,504.899994,504.576691,36592100
2020-09-08,469.380005,502.000000,468.170013,476.519989,476.214874,19893200
2020-09-09,496.000000,512.369995,489.269989,508.600006,508.274353,18405000
2020-09-10,519.570007,522.609985,486.679993,492.470001,492.154694,17467100
2020-09-11,499.420013,506.100006,475.829987,486.579987,486.268433,15923200
2020-09-14,523.239990,532.599976,505.250000,514.890015,514.560303,30043600
2020-09-15,531.200012,531.950012,513.109985,519.640015,519.307251,18188900
2020-09-16,518.289978,523.710022,500.549988,500.579987,500.259460,13909600
2020-09-17,485.290009,503.589996,481.390015,498.540009,498.220795,19812800
2020-09-18,503.750000,505.299988,479.549988,487.570007,487.257813,17461500
2020-09-21,477.000000,500.899994,476.179993,500.690002,500.369415,18026100
2020-09-22,503.000000,505.920013,486.220001,505.510010,505.186310,16161300
2020-09-23,503.019989,509.079987,483.170013,484.950012,484.639496,16175300
2020-09-24,482.890015,502.779999,480.559998,493.920013,493.603760,18281000
2020-09-25,497.899994,515.340027,489.829987,514.950012,514.620300,14700400
2020-09-28,521.609985,522.070007,510.000000,521.400024,521.066162,14345200
2020-09-29,517.500000,537.710022,517.330017,529.030029,528.691284,15536500
2020-09-30,526.299988,544.900024,526.010010,541.219971,540.873413,17229600
2020-10-01,550.320007,550.510010,538.429993,544.580017,544.231323,13125100
2020-10-02,529.000000,540.780029,522.039978,522.489990,522.155457,13812400
2020-10-05,529.440002,545.770020,528.909973,545.700012,545.350586,11995500
2020-10-06,553.200012,565.679993,546.599976,549.460022,549.108215,19610500
2020-10-07,559.989990,564.770020,554.539978,558.559998,558.202332,10452100
2020-10-08,563.000000,563.380005,550.320007,553.549988,553.195557,9472500
2020-10-09,550.679993,552.969971,546.429993,550.510010,550.157532,8672300
2020-10-12,559.580017,573.880005,556.500000,569.039978,568.675598,10868600
2020-10-13,571.859985,573.940002,560.750000,569.929993,569.565063,8615100
2020-10-14,571.619995,573.710022,558.400024,563.809998,563.449036,6902500
2020-10-15,552.429993,560.229980,550.710022,558.799988,558.442200,6680600
2020-10-16,561.469971,564.859985,551.700012,552.460022,552.106323,6059800
2020-10-19,556.119995,559.340027,536.270020,539.909973,539.564270,7451700
2020-10-20,543.340027,551.989990,540.280029,545.820007,545.470520,5730300
2020-10-21,545.000000,551.659973,539.099976,540.989990,540.643616,5489900
2020-10-22,540.900024,544.469971,529.270020,534.440002,534.097839,7262000
2020-10-23,538.000000,543.729980,531.650024,543.609985,543.261902,5837100
2020-10-26,537.080017,547.710022,521.539978,525.650024,525.313416,8422400
2020-10-27,532.239990,537.679993,527.659973,535.869995,535.526917,6263000
2020-10-28,527.919983,530.400024,504.359985,505.079987,504.756592,9413000
2020-10-29,513.539978,527.710022,510.000000,520.960022,520.626465,8002000
