Date,Open,Low,Close,Adj,Close,Volume
2015-07-01,17638.12,17801.83,17638.12,17757.91,17757.91,87010000
2015-07-02,17763.32,17825.49,17687.52,17730.11,17730.11,83080000
2015-07-06,17728.08,17734.36,17564.36,17683.58,17683.58,90130000
2015-07-07,17684.92,17793.45,17465.68,17776.91,17776.91,105840000
2015-07-08,17759.01,17759.01,17496.22,17515.42,17515.42,69830000
2015-07-09,17530.38,17764.85,17530.38,17548.62,17548.62,100520000
2015-07-10,17561.12,17797.49,17561.12,17760.41,17760.41,85800000
2015-07-13,17787.27,17987.57,17787.27,17977.68,17977.68,86380000
2015-07-14,17974.61,18072.82,17956.17,18053.58,18053.58,76740000
2015-07-15,18053.38,18090.39,18010.15,18050.17,18050.17,80460000
2015-07-16,18078.16,18131.61,18065.33,18120.25,18120.25,85030000
2015-07-17,18117.58,18121.12,18032.06,18086.45,18086.45,106510000
2015-07-20,18085.91,18137.12,18064.5,18100.41,18100.41,75060000
2015-07-21,18096.67,18096.67,17868.34,17919.29,17919.29,100170000
2015-07-22,17918.35,17919.35,17807.41,17851.04,17851.04,112370000
2015-07-23,17853.78,17860.95,17705.03,17731.92,17731.92,88600000
2015-07-24,17731.05,17756.54,17553.73,17568.53,17568.53,103470000
2015-07-27,17561.78,17561.78,17399.17,17440.59,17440.59,117860000
2015-07-28,17449.81,17650.07,17449.81,17630.27,17630.27,103450000
2015-07-29,17631.4,17776.78,17629.2,17751.39,17751.39,93140000
2015-07-30,17743.24,17761.25,17640.85,17745.98,17745.98,76650000
2015-07-31,17755.87,17783.59,17671.59,17689.86,17689.86,106120000
2015-08-03,17696.74,17704.76,17496.61,17598.2,17598.2,87880000
2015-08-04,17596.93,17635.78,17505.5,17550.69,17550.69,99060000
2015-08-05,17555.24,17661.37,17492.9,17540.47,17540.47,102450000
2015-08-06,17542.61,17572.04,17362.86,17419.75,17419.75,96170000
2015-08-07,17414.94,17414.94,17279.08,17373.38,17373.38,81800000
2015-08-10,17375.18,17629.13,17375.18,17615.17,17615.17,92430000
2015-08-11,17593.59,17593.59,17352.63,17402.84,17402.84,103010000
2015-08-12,17382.93,17423.9,17125.81,17402.51,17402.51,120400000
2015-08-13,17401.64,17481.78,17341.34,17408.25,17408.25,88550000
2015-08-14,17410.12,17492.9,17394.06,17477.4,17477.4,82120000
2015-08-17,17472.66,17551.4,17341.72,17545.18,17545.18,73380000
2015-08-18,17537.3,17568.4,17486.42,17511.34,17511.34,79900000
2015-08-19,17508.74,17517.19,17282.42,17348.73,17348.73,104720000
2015-08-20,17345.32,17345.32,16990.69,16990.69,16990.69,128530000
2015-08-21,16990.69,16990.69,16459.55,16459.75,16459.75,225170000
2015-08-24,16459.75,16459.75,15370.33,15871.35,15871.35,293920000
2015-08-25,15882.27,16312.94,15651.24,15666.44,15666.44,213220000
2015-08-26,15676.26,16303.75,15676.26,16285.51,16285.51,208420000
2015-08-27,16285.51,16666.69,16285.51,16654.77,16654.77,171980000
2015-08-28,16649.42,16669.97,16535.18,16643.01,16643.01,131790000
2015-08-31,16632.02,16632.02,16444.05,16528.03,16528.03,141440000
2015-09-01,16528.03,16528.03,15979.95,16058.35,16058.35,171390000
2015-09-02,16058.35,16352.58,16058.35,16351.38,16351.38,133480000
2015-09-03,16364.34,16550.07,16317.31,16374.76,16374.76,109730000
2015-09-04,16371.76,16371.76,16026.61,16102.38,16102.38,127270000
2015-09-08,16109.93,16503.41,16109.93,16492.68,16492.68,123870000
2015-09-09,16505.04,16664.65,16220.1,16253.57,16253.57,118790000
2015-09-10,16252.57,16441.94,16212.08,16330.4,16330.4,122690000
2015-09-11,16330.4,16434.76,16244.65,16433.09,16433.09,104630000
2015-09-14,16450.86,16450.86,16330.87,16370.96,16370.96,92660000
2015-09-15,16382.58,16644.11,16382.58,16599.85,16599.85,93050000
2015-09-16,16599.51,16755.98,16593.9,16739.95,16739.95,99620000
2015-09-17,16738.08,16933.43,16639.93,16674.74,16674.74,129600000
2015-09-18,16674.74,16674.74,16343.76,16384.58,16384.58,341690000
2015-09-21,16406.1,16578.6,16391.88,16510.19,16510.19,90730000
2015-09-22,16477.45,16477.45,16221.73,16330.47,16330.47,119010000
2015-09-23,16332.81,16355.29,16211.98,16279.89,16279.89,86030000
2015-09-24,16257.11,16257.11,16016.36,16201.32,16201.32,122220000
2015-09-25,16205.07,16465.23,16205.07,16314.67,16314.67,130790000
"Sep 28, 2015",16313.26,16313.26,15981.85,16001.89,16001.89,139930000
"Sep 29, 2015",16001.76,16118.89,15942.37,16049.13,16049.13,121160000
